"Title","Company","Location","city","state"
"Innovation & Technology Senior Data Scientist","PWC","New York, NY","New York","NY"
"Data Scientist","Analytic Recruiting, Inc.","Chicago, IL","Chicago","IL"
"Data Scientist III","Genesis10","Kansas City, MO","Kansas City","MO"
"Data Scientist","CyberCoders","Palo Alto, CA","Palo Alto","CA"
"Data Scientist","Principle Solutions Group","Cincinnati, OH","Cincinnati","OH"
"Jr. to Senior Data Scientist, top tier Health company (up to $170k)","Skyrocket Ventures","San Francisco, CA","San Francisco","CA"
"Data Scientist","Publica","Palo Alto, CA","Palo Alto","CA"
"Data Scientist","Hays","Raleigh, NC","Raleigh","NC"
"Data Scientist","SNI Technology","Boston, MA","Boston","MA"
"Big Data / Data Scientist Analyst / NJ OR PA / R Modeling","NTT DATA Services","Whitehouse Station, NJ","Whitehouse Station","NJ"
"Python Data Scientist","Eclaro","NEW YORK, NY","NEW YORK","NY"
"Data Scientist (P)","Fulcrum IT Services, LLC","Fairfax/Manassas/Reston, VA","Fairfax/Manassas/Reston","VA"
"Data Scientist","Focus Capital Markets","Greenwich, CT","Greenwich","CT"
"Data Scientist III - 1912187470","Pinnacle Group","Radnor, PA","Radnor","PA"
"Data Scientist","Hired by Matrix, Inc.","Union, NJ","Union","NJ"
"Sr Data Scientist","Nesco Resource","Ft Worth, TX","Ft Worth","TX"
"Senior Data Scientist","Tata Consultancy Services","Norwalk, CT","Norwalk","CT"
"Data Scientist","Kforce Inc","Framingham, MA","Framingham","MA"
"Senior Data Scientist","Tavant Technologies Inc","Santa Clara, CA","Santa Clara","CA"
"Data Scientist","ApTask","Hoboken, NJ","Hoboken","NJ"
"Data Scientist","Ford Motor Company","Dearborn, MI","Dearborn","MI"
"Cyber Data Scientist - PETTT ONSITE","Engility Corporation","Vicksburg, MS","Vicksburg","MS"
"Data Scientist","Randstad Technologies","Northbrook, IL","Northbrook","IL"
"PRINCIPAL DATA SCIENTIST","Retention Science","Santa Monica, CA","Santa Monica","CA"
"Data Scientist, Military Healthcare Systems","Alaka`ina Foundation Family of Companies","Falls Church, VA","Falls Church","VA"
"Data Scientist","Globalupside","Mountain View, CA","Mountain View","CA"
"Sr Algorithm/Data Scientist","ASRC Federal Holding Company LLC","Moorestown, NJ","Moorestown","NJ"
"UPS Lead Data Scientist","UPS","Mahwah, NJ","Mahwah","NJ"
"Statistician/Data Scientist","Collabera","Houston, TX","Houston","TX"
"Data Scientist III","Matrix Resources","Fort Mill, SC","Fort Mill","SC"
"Machine Learning / Data Scientist / Computer Vision / IOT Architect - Direct Hire / Full Time / Perm","Cynet Systems Inc","Detroit, MI","Detroit","MI"
"Data Scientist","Crane Worldwide Logistics","Houston, TX","Houston","TX"
"Data Scientist","E-Primary","Radnor, PA","Radnor","PA"
"Data Scientist - Retail / eCommerce","Project One","Union, NJ","Union","NJ"
"Data Scientist","Platform Staffing Group","Battle Creek, MI","Battle Creek","MI"
"Data Scientist (NPO Startup)","Michael Page USA","Chicago, IL","Chicago","IL"
"Data Scientist","Hollister Staffing","Boston, MA","Boston","MA"
"Data Scientist","Piper Enterprise Solutions","Plymouth Meeting, PA","Plymouth Meeting","PA"
"Data Scientist","Zillion Technologies Inc","Framingham, MA","Framingham","MA"
"Data Scientist","SVAM International, Inc.","jericho, NY","jericho","NY"
"Data scientist","Pactera Technologies","Redmond, WA","Redmond","WA"
"Data Scientist","Peterson Technology Partners","Chicago, IL","Chicago","IL"
"Data Scientist","VincentBenjamin","Santa Monica, CA","Santa Monica","CA"
"Data Scientist (TS/SCI Required)","Federal Hill Consulting","Tampa, FL","Tampa","FL"
"Data Scientist - very small and very profitable super cool nerdy company","The Bivium Group","Cambridge, MA","Cambridge","MA"
"Data Scientist","PF1 Professional Services","Tampa, FL","Tampa","FL"
"Data Scientist","Progrexion","Salt Lake City, UT","Salt Lake City","UT"
"Sr Data Scientist","NextGen Information Services, Inc.","Plano, TX","Plano","TX"
"Data Scientist","Juno Search Partners","Philadelphia, PA","Philadelphia","PA"
"Advanced Analytics - Data Scientist","TXU Retail Services Company","Irving, TX","Irving","TX"
"Assistant Data Scientist (15243B)","University of Utah","University of Utah, UT","University of Utah","UT"
"Data Scientist-SAS Predictive Modelling","Company Confidential","Jericho, NY","Jericho","NY"
"Senior Data Scientist - 50% remote!","CyberCoders","San Francisco, CA","San Francisco","CA"
"Data Scientist","Epitec","Dearborn, MI","Dearborn","MI"
"Data Scientist","SVB Financial Group","Tempe, AZ","Tempe","AZ"
"Data Scientist/Developer 1","Northrop Grumman Corporation","Redondo Beach, CA","Redondo Beach","CA"
"Data Scientist","CyberCoders","Chicago, IL","Chicago","IL"
"Lead Data Scientist","Accenture","San Diego, CA","San Diego","CA"
"Data Scientist","Analytic Recruiting, Inc.","Bethesda, MD","Bethesda","MD"
"Data Scientist","CyberCoders","New York City, NY","New York City","NY"
"Statistician / Data Scientist","Kforce Inc","Houston, TX","Houston","TX"
"Data Scientist","TSCTI","Washington, DC","Washington","DC"
"Data Scientist","Tavant Technologies Inc","Santa Clara, CA","Santa Clara","CA"
"Data Scientist","NTT DATA Services","Santa Clara, CA","Santa Clara","CA"
"Data Scientist/ Modeler","Navitas Business Consulting","Washington, DC","Washington","DC"
"Senior Data Scientist / Neural Network Analyst - TS/SCI","NT Concepts","Vienna, VA","Vienna","VA"
"Software Engineer - Data Scientist (Grow in Machine Learning)","Webroot","San Diego, CA","San Diego","CA"
"Data Scientist","Epsilon","Woburn, MA","Woburn","MA"
"Data Scientist","Deloitte","Arlington County, VA","Arlington County","VA"
"Principal Engineer I - Data Scientist","Spectrum","Centennial, CO","Centennial","CO"
"Data Scientist with Hadoop","Saanvi Technologies","Detroit, MI","Detroit","MI"
"Junior Hadoop Developer / Data Scientist","Kforce Inc","Charlotte, NC","Charlotte","NC"
"Data Scientist","Cognizant","Plano, TX","Plano","TX"
"Supplier Quality (Data Scientist) Engineer in Plantation, FL","OSI Engineering","Fort Lauderdale, FL","Fort Lauderdale","FL"
"Postdoctoral Research Data Scientist (15223B)","University Of Utah","Salt Lake City, UT","Salt Lake City","UT"
"Data Scientist","Nelson Intelligence Solutions","Denver, CO","Denver","CO"
"Data Scientist","Houston Methodist","Houston, TX","Houston","TX"
"Services Data Scientist","Agilent","Wilmington, DE","Wilmington","DE"
"Semiconductor Patterning Data Scientist","ASML","San Jose, CA","San Jose","CA"
"Lead Data Scientist","UNITED PARCEL SERVICE","Mahwah, NJ","Mahwah","NJ"
"Senior Data Scientist","Mercy","Chesterfield, MO","Chesterfield","MO"
"Senior Data Scientist","DexMedia","Santa Monica, CA","Santa Monica","CA"
"Data Scientist","Vaco - Los Angeles (LAX)","Thousand Oaks, CA","Thousand Oaks","CA"
"Data Scientists and Senior Data Scientists","iTech Solutions","Brooklyn, NY","Brooklyn","NY"
"Data Scientist, Data & Analytics","MLB Advanced Media","New York, NY","New York","NY"
"Data Scientist - New York","National Basketball Association","New York, NY","New York","NY"
"Predictive Analytics/Data Scientist","Country Financial","Middletown, CT","Middletown","CT"
"Data Scientist","MultiCare Health System","Puyallup, WA","Puyallup","WA"
"Senior-Inventive Scientist (Labs- Big Data Research)","AT&T","New York, NY","New York","NY"
"Data Science Developer - Analytics Center of Excellence","Quintiles","Durham, NC","Durham","NC"
"Data Science Director","Strategic IT Staffing","Seattle, WA","Seattle","WA"
"Sr Scientist - Clinical Data Manager","RAI Services Company","Winston-Salem, NC","Winston-Salem","NC"
"Data Science Consultant w/ Spark exp","Resource Informatics Group Inc","Seattle, WA","Seattle","WA"
"Sr. Manager of Data Science & Marketing Technology","Harvey Nash, Inc","Parsippany, NJ","Parsippany","NJ"
"GEOINT Analyst (Data Science) **Pay Band 03/04/05**","National Security Agency (NSA)","Springfield, VA;St Louis, MD","Springfield","VA"
"Entry Level Business Intelligence &Data Science Developer","Itlize Global, LLC","Piscataway, NJ","Piscataway","NJ"
"Director, Data Science","Conversant","Chicago, IL","Chicago","IL"
"Senior Big Data / Data Science Developer","VanderHouwen","beaverton, OR","beaverton","OR"
"Data Science Manager","Integrity Consulting","Durham, NC","Durham","NC"
"SR. MANAGER OF DATA SCIENCE","CVS","Woonsocket, RI","Woonsocket","RI"
"Advanced Analytics Systems Lead","Altec Industries","Birmingham, AL","Birmingham","AL"
"data science/ data analyst","GS Global Services Inc.","Manhattan, NY","Manhattan","NY"
"Director, Clinical Development - Early Development Team Leader","Advanced Clinical","Jersey City, NJ","Jersey City","NJ"
"Supervisor of Applied Data Science","Children's Hospital Of Philadelphia","Philadelphia, PA","Philadelphia","PA"
"Human Resources Business Analyst","TRC Staffing","Seattle, WA","Seattle","WA"
"Business Operations Analyst","Avispa LLC","Sunnyvale, CA","Sunnyvale","CA"
"Data Modeler","Stefanini","Tampa, FL","Tampa","FL"
"Solution Architect - Virtualization","NVIDIA Corporation","Santa Clara, CA","Santa Clara","CA"
"Clinical Informaticist to Support Federal Govt. Analytics Engagement","Thor Group","Chicago, IL","Chicago","IL"
"Hadoop Administrator","Alluvion Staffing","Jacksonville, FL","Jacksonville","FL"
"Clinical Operations","Randstad Life Sciences","North Chicago, IL","North Chicago","IL"
"Faculty","Dakota State University","Madison, SD","Madison","SD"
"MULTIPLE OPENINGS","Lyft, Inc.","San Francisco, CA","San Francisco","CA"
"Marketing Analytics Consultant - CRM","Publix Super Markets, Inc.","Lakeland, FL","Lakeland","FL"
"Data Visualization Analyst","Bayside Solutions","San Francisco, CA","San Francisco","CA"
"BigData Architect","Ap Task","Irving, TX","Irving","TX"
"Advisor, Data Analytics","Cardinal Health","Columbus, OH","Columbus","OH"
"Java Developer","Metadata Technology North America","Knoxville, TN","Knoxville","TN"
"Web Developer","Asteri Networks","Shreveport, LA","Shreveport","LA"
"Scientist IV - Analytical Scientist (Data Reporting)","RJ Reynolds Tobacco Co","Winston-Salem, NC","Winston-Salem","NC"
"SOFTWARE ENGINEER (MULTIPLE POSITIONS)","HOME DEPOT PRODUCT AUTHORITY, LLC","Atlanta, GA","Atlanta","GA"
"Assoc. Strategic Analytics","JPMorgan Chase & Co.","Columbus, OH","Columbus","OH"
"E-Commerce Specialist","Spherion","Jacksonville, FL","Jacksonville","FL"
"Data Scientist","SNI Technology","Cambridge, MA","Cambridge","MA"
"Marketing Analytics Analyst","Fountain Group","Glencoe, IL","Glencoe","IL"
"New Account Acquisition- Statistician","Merrick Bank","South Jordan, UT","South Jordan","UT"
"Data Scientist III for Quality Outcomes","Eclaro","St. Louis, MO","St. Louis","MO"
"Data Scientist heavy Data Engineering","CyberCoders","Stewartville, MA","Stewartville","MA"
"Data Scientist  / Data Engineer R, Python, Cannabis Data Sets","CyberCoders","Palo Alto, CA","Palo Alto","CA"
"Data Engineer","Solomon Page","New York, NY","New York","NY"
"Data Engineer","Amiseq","San Mateo, CA","San Mateo","CA"
"Part-time Lecturer, Engineering Management and Innovation Management","Tufts School of Engineering","Medford, MA","Medford","MA"
"Associate Biostatistics Director","Astellas","Northbrook, IL","Northbrook","IL"
"Data Scientist - Hyde Park","CyberCoders","Chicago, IL","Chicago","IL"
"Business Analyst","Talus Partners","Enfield, CT","Enfield","CT"
"Technical Writer","Capital Markets Placement","New York City, NY","New York City","NY"
"Associate Data Scientist","Principle Solutions Group","Charlotte, NC","Charlotte","NC"
"Data Scientist","Collabera","Charlotte, NC","Charlotte","NC"
"Data Scientist","Principle Solutions Group","Atlanta, GA","Atlanta","GA"
"Data Scientist Consultant","Eclaro","Pennington, NJ","Pennington","NJ"
"Big Data / Data Scientist Analyst / NJ OR PA / R Modeling","NTT DATA Services","Whitehouse Station, NJ","Whitehouse Station","NJ"
"Data Scientist/Statistical Modeler-Media Mix Model","Kforce Inc","New York, NY","New York","NY"
"TS/SCI Data Scientist","SNI Technology","Tampa, FL","Tampa","FL"
"Data Engineer","Innoza Tech","Sunnyvale, CA","Sunnyvale","CA"
"Data Scientist Consultant","Eclaro","Pennington, NJ","Pennington","NJ"
"Clinical Data Manager","Collab Infotech","Andover, MA","Andover","MA"
"Data Scientist","Randstad Technologies","Chicago, IL","Chicago","IL"
"Sr Software Engineer 1","22nd Century Technologies Inc","Cedar Rapids, IA","Cedar Rapids","IA"
"Assistant, Associate, or Full Professor","North Carolina State Univ.","Raleigh, Raleigh, Raleigh","Raleigh","NC"
"Data Scientist, Marketing Analytics","Analytic Recruiting, Inc.","New York, NY","New York","NY"
"Data Scientist","ASRC Federal Holding Company LLC","Falls Church, VA","Falls Church","VA"
"Data Scientist/Developer 1","Northrop Grumman Corporation","Redondo Beach, CA","Redondo Beach","CA"
"Data Scientist","Eclaro","Duluth, GA","Duluth","GA"
"Data Scientist","Hollister Staffing","Cambridge, MA","Cambridge","MA"
"Data Scientist","Hired by Matrix, Inc.","Short Hills, NJ","Short Hills","NJ"
"Sr. Software Engineer","PDS Tech Inc.","Cedar Rapids, IA","Cedar Rapids","IA"
"Senior Data Scientist","Kforce Inc","Irvine, CA","Irvine","CA"
"Test Engineer Co-op","Eaton Corporation","Galesburg, MI","Galesburg","MI"
"Business Analyst II","s•com","Seattle, WA","Seattle","WA"
"Web Architect w/Security","InfoWeb Systems, Inc.","Cedar Rapids, IA","Cedar Rapids","IA"
"Data Scientist - Alternative Data","CyberCoders","New York, NY","New York","NY"
"Machine Learning Specialist","Experis","Beverly, MA","Beverly","MA"
"Sales Director North America","Call Journey"," "," ",NA
"Data Manager","Randstad","Summerville, SC","Summerville","SC"
"Software Engineer","Superior Group","Buffalo, NY","Buffalo","NY"
"Data Scientist - R, SAS, Statistical Modeling","CyberCoders","San Mateo, CA","San Mateo","CA"
"Data Scientist   AI, Python, Security (RELOCATION ASSISTANCE!)","CyberCoders","Newport Beach, CA","Newport Beach","CA"
"Senior Data Scientist","Tailored Brands","Fremont, CA","Fremont","CA"
"Senior Product Manager, NLP (Natural Language Processing) Core Department","UPMC Presbyterian Shadyside","Pittsburgh, PA","Pittsburgh","PA"
"Software Developer Intern Online Hiring Event This Thursday","Honeywell","Atlanta, GA","Atlanta","GA"
"DIRECTOR OF MARKETING ANALYTICS","Cottonwood Financial","Irving, TX","Irving","TX"
"Senior Cloud Architect","Primary Search Management","Jersey City, NJ","Jersey City","NJ"
"Data Scientist","Collabera","Atlanta, GA","Atlanta","GA"
"Director, Fraud and Analytics","Howard Systems International","Manhattan, NY","Manhattan","NY"
"Pharmaceutical System Analyst","Real Soft, Inc.","Marlborough, MA","Marlborough","MA"
"Senior Data Scientist (Security Clearance Required)","Hired","Stevenson, MD","Stevenson","MD"
"Senior Data Scientist (Security Clearance Required)","Hired","Southern Md Facility, MD","Southern Md Facility","MD"
"Senior Data Scientist (Security Clearance Required)","Hired","Fallston, MD","Fallston","MD"
"Sr Manager Insights & Data Strategy","Brainworks","Oakland, CA","Oakland","CA"
"SENIOR PERFORMANCE MANAGER","Washington State Office of the Governor","Olympia, WA","Olympia","WA"
"Senior Data Scientist (Security Clearance Required)","Hired","Laurel, MD","Laurel","MD"
"Data Scientist","Randstad Technologies","Northbrook, IL","Northbrook","IL"
"Assistant Data Scientist (15243B)","University Of Utah","Salt Lake City, UT","Salt Lake City","UT"
"SENIOR DATA SCIENTIST - Predictive Modeling","The Judge Group, Inc.","Creve Coeur, MO","Creve Coeur","MO"
"Data Design & Architecture","BizTek People, Inc.","Beaverton, OR","Beaverton","OR"
"Data Scientist","The Judge Group, Inc.","Hopewell, NJ","Hopewell","NJ"
"Senior Front End Engineer","Mastech","Magalia, CA","Magalia","CA"
"Big Data Engineer","Intelliswift Software","Mountain View, CA","Mountain View","CA"
"Incident Platform Product Manager","AMS Staffing, Inc.","Houston, TX","Houston","TX"
"BI Developer","Vaco - Nashville","Brentwood, TN","Brentwood","TN"
"Senior Data Scientist with Operations Research","The Judge Group, Inc.","Creve Coeur, MO","Creve Coeur","MO"
"Business/Data Analyst","Whiteline Express","Plymouth, MI","Plymouth","MI"
"Research Scientist, Advanced Analytics","Hitachi America, Ltd.","Santa Clara, CA","Santa Clara","CA"
"Data Scientist","Randstad Technologies","Tampa, FL","Tampa","FL"
"Senior Software Developer","Altamira Technologies","Fairborn, OH","Fairborn","OH"
"Sr Data Analyst","Laureate Education, Inc.","Columbia, MD","Columbia","MD"
"Junior Software Developer","Altamira Technologies Corporation","Fairborn, OH","Fairborn","OH"
"Business Intelligence Analyst","Prudent Technologies and Consulting","Abilene, TX","Abilene","TX"
"Data Science Director - Relocation Required","Strategic IT Staffing","Monterey, CA","Monterey","CA"
"Data Science Director","Strategic IT Staffing","San Diego, CA","San Diego","CA"
"Data Science Director - Relocation Required","Strategic IT Staffing","San Diego, CA","San Diego","CA"
"Data Science Director","Strategic IT Staffing","San Jose, CA","San Jose","CA"
"Data Engineer - Hadoop Operations","Brooksource","Minneapolis, MN","Minneapolis","MN"
"Lead Quant Developer","Advance Consulting","New York, NY","New York","NY"
"Quantitative Research Scientist - Alternative Data","CyberCoders","New York City, NY","New York City","NY"
"Business Analyst/Data Analyst","Conperio Technology Solutions","Saint Louis, MO","Saint Louis","MO"
"Director of Data Science -Signal Processing Expertise!!","CyberCoders","San Francisco, CA","San Francisco","CA"
"Sr Programmer","Inirus, LLC","San Jose, CA","San Jose","CA"
"Quantitative Developer","MResult Corp","Manhattan, NY","Manhattan","NY"
"Multiple Positions","Airbnb, Inc.","San Francisco, CA","San Francisco","CA"
"Data Science Teacher","Randstad Technologies","Edison, NJ","Edison","NJ"
"Sr. Customer Analytics","SANTANDER BANK, N.A.","Boston, MA","Boston","MA"
"Emerging Technology Products Director - Advanced Analytics Tax & Innov","PWC","New York, NY","New York","NY"
"Data Science Teacher","Randstad Technologies","Edison, NJ","Edison","NJ"
"Data Modeler","Randstad Technologies","Tampa, FL","Tampa","FL"
"Application Analyst II","Genesis10","Kansas City, KS","Kansas City","KS"
"Product Technical Lead - US","Infosys","Palo Alto, CA","Palo Alto","CA"
"Data Quality Analyst - Contract to Hire","NTT DATA Services","Oak Brook, IL","Oak Brook","IL"
"Listing Agent / Real Estate Sales","Opendoor","Dallas, TX","Dallas","TX"
"Senior Product Manager","Strategic IT Staffing","San Francisco, CA","San Francisco","CA"
"Executive Director of Strategic Communications and Media Relations","Columbia University","Manhattan, NY","Manhattan","NY"
"Research Associate","Massachusetts Institute of Technology","Cambridge, MA","Cambridge","MA"
"Solution Architect - Video","NVIDIA Corporation","Santa Clara, CA","Santa Clara","CA"
"DATA COLLECTION SPECIALIST","CAROL HARRIS STAFFING","CHESWICK, PA","CHESWICK","PA"
"Business Analyst","Hunter International Inc","Chesterfield, MO","Chesterfield","MO"
"Senior Product Manager - Data Platform","Data Sciences International,Inc","Saint Paul, MN","Saint Paul","MN"
"Director of Ad Operations","Asteri Networks","Shreveport, LA","Shreveport","LA"
"Senior/Lead Architect - Computer Vision/Image Processing","CyberCoders","Fremont, CA","Fremont","CA"
"Senior Deep Learning Researcher","CyberCoders","New York, NY","New York","NY"
"Senior Data Engineer","CyberCoders","San Francisco, CA","San Francisco","CA"
"Jr Application Scientist - NLP, Informatics","CyberCoders","Waltham, MA","Waltham","MA"
"Senior Front-End Web Developer","OSI Engineering","San Francisco, CA","San Francisco","CA"
"Data Modeler / Programmer","GDA Corp.","State College, PA","State College","PA"
"VERY URGENT contract-to-hire iOS Engineer (AR/VR/3D) needed!","CyberCoders","New York City, NY","New York City","NY"
"Data Engineer","BioCentury Inc.","Redwood City, CA","Redwood City","CA"
"Director of Business Intelligence","Republic Services","Scottsdale, AZ","Scottsdale","AZ"
"Vulnerability Management","Convergenz","Washington, DC","Washington","DC"
"Cyber Security Computer Scientist","Wasabi Technologies, Inc.","Boston, MA","Boston","MA"
"Cloud Developer","Voith Holding Inc","Wilson, NC","Wilson","NC"
"Marketing Analytics Analyst","Fountain Group","Bannockburn, IL","Bannockburn","IL"
"Strategic Business Analyst","TalentPool Search Inc.","Troy, MI","Troy","MI"
"Back-end Insights Engineer","InfoGroup Northwest","Portland, Portland, Portland","Portland","Portland"
"Administrative Assistant","ADMEX Corporation","Silver Spring, MD","Silver Spring","MD"
"Software Developer","Sphere of Influence, Inc.","Lakewood, CO","Lakewood","CO"
"Big Data Engineer","DIVERSANT LLC","Chandler, AZ","Chandler","AZ"
